Timestamp,WorkingSetMB,PrivateBytesMB,PeakWorkingSetMB,PeakPrivateBytesMB,PagedMemoryMB,NonPagedMemoryMB,Gen0SizeMB,Gen1SizeMB,Gen2SizeMB,LOHSizeMB,POHSizeMB,GCTotalHeapMB,GCTotalCommittedMB,Gen0Collections,Gen1Collections,Gen2Collections,Gen0FragmentedMB,Gen1FragmentedMB,Gen2FragmentedMB,LOHFragmentedMB,ThreadCount,HandleCount,ProcessorCount
2025-12-05T11:51:22.385Z,420.28,394.68,420.28,394.73,394.68,394.68,0.00,4.56,15.37,5.02,0.25,35.10,41.34,5,5,2,11.93,7.45,0.00,0.00,85,854,22
2025-12-05T11:51:23.403Z,426.63,400.80,426.63,400.80,400.80,400.80,0.00,4.56,15.37,5.02,0.25,28.55,41.34,6,5,2,11.93,7.45,0.00,0.00,85,861,22
2025-12-05T11:51:24.385Z,535.03,506.57,535.03,506.57,506.57,506.57,0.00,11.99,24.64,5.02,0.25,39.34,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:25.376Z,547.27,516.88,548.16,519.48,516.88,516.88,0.00,11.99,24.64,5.02,0.25,39.37,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:26.391Z,548.86,517.15,548.86,519.48,517.15,517.15,0.00,11.99,24.64,5.02,0.25,39.40,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:27.391Z,541.53,510.19,549.07,519.48,510.19,510.19,0.00,11.99,24.64,5.02,0.25,39.48,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:28.386Z,543.23,509.47,549.07,519.48,509.47,509.47,0.00,11.99,24.64,5.02,0.25,39.62,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:29.376Z,544.78,510.84,549.07,519.48,510.84,510.84,0.00,11.99,24.64,5.02,0.25,39.75,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:30.376Z,540.84,506.41,549.07,519.48,506.41,506.41,0.00,11.99,24.64,5.02,0.25,39.78,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:31.385Z,522.76,488.01,549.07,519.48,488.01,488.01,0.00,11.99,24.64,5.02,0.25,39.82,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:32.378Z,520.48,485.69,549.07,519.48,485.69,485.69,0.00,11.99,24.64,5.02,0.25,39.85,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:33.388Z,520.52,485.75,549.07,519.48,485.75,485.75,0.00,11.99,24.64,5.02,0.25,39.88,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:34.389Z,520.54,485.75,549.07,519.48,485.75,485.75,0.00,11.99,24.64,5.02,0.25,39.90,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:35.384Z,505.58,469.87,549.07,519.48,469.87,469.87,0.00,11.99,24.64,5.02,0.25,40.01,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:36.384Z,505.61,469.87,549.07,519.48,469.87,469.87,0.00,11.99,24.64,5.02,0.25,40.04,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:37.382Z,505.63,469.93,549.07,519.48,469.93,469.93,0.00,11.99,24.64,5.02,0.25,40.06,45.34,7,6,2,12.00,0.00,0.00,0.00,85,869,22
2025-12-05T11:51:38.390Z,505.64,469.90,549.07,519.48,469.90,469.90,0.00,11.99,24.64,5.02,0.25,40.08,45.34,7,6,2,12.00,0.00,0.00,0.00,84,866,22
2025-12-05T11:51:39.384Z,502.30,466.11,549.07,519.48,466.11,466.11,0.00,11.99,24.64,5.02,0.25,40.17,45.34,7,6,2,12.00,0.00,0.00,0.00,84,866,22
2025-12-05T11:51:40.378Z,502.33,466.17,549.07,519.48,466.17,466.17,0.00,11.99,24.64,5.02,0.25,40.19,45.34,7,6,2,12.00,0.00,0.00,0.00,84,866,22
2025-12-05T11:51:41.389Z,502.35,466.17,549.07,519.48,466.17,466.17,0.00,11.99,24.64,5.02,0.25,40.21,45.34,7,6,2,12.00,0.00,0.00,0.00,84,866,22
2025-12-05T11:51:42.383Z,502.38,466.23,549.07,519.48,466.23,466.23,0.00,11.99,24.64,5.02,0.25,40.24,45.34,7,6,2,12.00,0.00,0.00,0.00,84,866,22
2025-12-05T11:51:43.381Z,502.41,466.42,549.07,519.48,466.42,466.42,0.00,11.99,24.64,5.02,0.25,40.27,45.34,7,6,2,12.00,0.00,0.00,0.00,84,866,22
2025-12-05T11:51:44.387Z,502.38,466.33,549.07,519.48,466.33,466.33,0.00,11.99,24.64,5.02,0.25,40.29,45.34,7,6,2,12.00,0.00,0.00,0.00,82,862,22
2025-12-05T11:51:45.379Z,502.55,466.51,549.07,519.48,466.51,466.51,0.00,11.99,24.64,5.02,0.25,40.31,45.34,7,6,2,12.00,0.00,0.00,0.00,82,862,22
2025-12-05T11:51:46.379Z,510.26,475.87,549.07,519.48,475.87,475.87,0.00,11.99,24.64,5.02,0.25,40.45,45.34,7,6,2,12.00,0.00,0.00,0.00,82,864,22
2025-12-05T11:51:47.376Z,541.20,507.39,549.07,519.48,507.39,507.39,0.00,13.47,24.64,5.02,0.25,40.87,58.84,8,6,2,12.00,0.00,0.00,0.00,82,864,22
2025-12-05T11:51:48.392Z,546.38,511.17,549.07,519.48,511.17,511.17,0.23,4.61,30.87,5.02,0.25,39.22,57.84,10,8,3,11.77,8.86,0.00,0.00,82,857,22
2025-12-05T11:51:49.416Z,547.36,512.30,549.07,519.48,512.30,512.30,0.23,4.61,30.87,5.02,0.25,39.84,57.84,10,8,3,11.77,8.86,0.00,0.00,82,857,22
2025-12-05T11:51:50.381Z,569.72,531.07,569.72,532.84,531.07,531.07,0.23,4.61,30.87,5.02,0.25,43.06,57.84,10,8,3,11.77,8.86,0.00,0.00,82,859,22
2025-12-05T11:51:51.377Z,569.87,531.07,569.87,532.84,531.07,531.07,0.23,4.61,30.87,5.02,0.25,43.85,57.84,10,8,3,11.77,8.86,0.00,0.00,82,860,22
2025-12-05T11:51:52.378Z,571.54,531.45,571.54,532.84,531.45,531.45,0.23,4.61,30.87,5.02,0.25,46.87,57.84,10,8,3,11.77,8.86,0.00,0.00,82,865,22
2025-12-05T11:51:53.377Z,572.96,530.75,572.96,532.84,530.75,530.75,0.23,4.61,30.87,5.02,0.25,47.75,57.84,10,8,3,11.77,8.86,0.00,0.00,83,874,22
2025-12-05T11:51:54.377Z,573.31,530.81,573.39,532.84,530.81,530.81,0.23,4.61,30.87,5.02,0.25,49.20,57.84,10,8,3,11.77,8.86,0.00,0.00,83,875,22
2025-12-05T11:51:55.379Z,573.34,530.81,573.39,532.84,530.81,530.81,0.23,4.61,30.87,5.02,0.25,49.50,57.84,10,8,3,11.77,8.86,0.00,0.00,83,875,22
2025-12-05T11:51:56.377Z,573.36,530.81,573.39,532.84,530.81,530.81,0.23,4.61,30.87,5.02,0.25,49.68,57.84,10,8,3,11.77,8.86,0.00,0.00,83,875,22
2025-12-05T11:51:57.377Z,573.37,530.81,573.39,532.84,530.81,530.81,0.23,4.61,30.87,5.02,0.25,49.98,57.84,10,8,3,11.77,8.86,0.00,0.00,83,875,22
2025-12-05T11:51:58.377Z,561.03,520.57,573.39,532.84,520.57,520.57,0.00,6.54,30.87,5.02,0.25,40.41,57.84,11,8,3,11.88,0.00,0.00,0.00,84,886,22
